media;pays_siege;theme_media;note;indice_fiabilite
Automotive News;United States;Business;5;5
Axios;United States;Politique américaine;2;2
BBC;United Kingdom;Généraliste;2;1
BNN Bloomberg;Canada;Business;5;5
Bainbridge Island Review;United States;Local/Régional;5;5
Baird Maritime;Australia;Business;5;5
Balkan Green Energy News;Serbia;Environnement;5;5
Baltimore Sun;United States;Local/Régional;5;5
Barchart;United States;Généraliste;5;5
Barrett Media;United States;Généraliste;5;5
Barron's;United States;Business;5;5
Basic Tutorials;Germany;Généraliste;5;5
Bass Magazine;United States;Généraliste;5;5
BeInCrypto;Seychelles;Business;5;5
Benzinga;United States;Business;5;5
Bergen Record;United States;Local/Régional;5;5
BettingPros;United States;Sports;5;5
Billboard;United States;Société/Culture/Positif;5;5
BioSpace;United States;Business;5;5
BitPinas;Philippines;Généraliste;5;5
Bitcoin Magazine;United States;Business;5;5
Bitcoin World;China;Business;5;5
Bitget;Seychelles;Généraliste;5;5
Biz & IT - Ars Technica;United States;Tech;5;5
BizzBuzz;India;Business;5;5
Blake, Cassels & Graydon;Canada;Politique;5;5
Blocks & Files;United Kingdom;Généraliste;5;5
Bloomberg;United States;Business;1;5
Boston Herald;United Kingdom;Local/Régional;5;5
Bozeman Daily Chronicle;United Kingdom;Local/Régional;5;5
Brave New Coin;New Zealand;Business;5;5
Breaking Defense;United States;Tensions/guerre/violences/géopolitique;3;2
Breaking News, Latest News and Videos;United Kingdom;Généraliste;5;5
Breakingthenews.net;United Kingdom;Généraliste;5;5
BriefGlance;United Kingdom;Généraliste;5;5
Brookings;United States;Tensions/guerre/violences/géopolitique;3;2
Brooks Funeral Home and Cremation Services P.C.;United States;Société/Culture/Positif;5;5
Brown Alumni Magazine;United States;Généraliste;5;5
Bruegel;Belgium;Généraliste;3;5
Built In;United States;Tech;5;5
Bulinews;Bulgaria;Généraliste;5;5
Business Insider;United States;Business;5;5
Business Insider Africa;South Africa;Business;5;5
Business News Nigeria;Nigeria;Business;5;5
Business Outreach Magazine;India;Business;5;5
Business Post;Ireland;Business;5;5
Business Standard;India;Business;5;5
Business Wire;United States;Business;5;5
BusinessLine;India;Business;5;5
Businessday NG;Nigeria;Business;5;5
C-SPAN;United States;Politique américaine;5;5
CB Insights;United States;Business;2;5
CBC;United States;Généraliste;5;5
CBS News;United States;Généraliste;2;1
CBS Sports;United States;Sports;5;1
CFO Dive;United States;Business;5;5
CIDRAP;United States;Business;5;5
CJDC TV;Canada;Généraliste;5;5
CNBC;United States;Business;2;2
CNN;United States;Généraliste;2;1
CPPCC National Committee;China;Généraliste;5;5
CSIS | Center for Strategic and International Studies;United States;Tensions/guerre/violences/géopolitique;5;2
CTech;Israel;Tech;5;5
CX Today;United Kingdom;Généraliste;5;5
Caixin Global;China;Généraliste;5;5
Caledonian Record;United States;Local/Régional;5;5
California State Portal | CA.gov;United States;Politique américaine;5;5
Campaign Asia;Singapore;Tech;5;5
Capital Gazette;United States;Local/Régional;5;5
Car and Driver;United States;Business;5;5
CarbonCredits.com;United States;Environnement;5;5
Carroll County Mirror-Democrat;United States;Local/Régional;5;5
Caspian Post;Azerbaijan;Généraliste;5;5
CathNews;Australia;Société/Culture/Positif;5;5
Center for Global Development;United States;Politique;5;5
Ch-aviation;Switzerland;Business;5;5
ChainCatcher;China;Généraliste;5;5
Channel Africa;South Africa;Généraliste;5;5
Charged EVs;United States;Généraliste;5;5
ChartMill;Belgium;Généraliste;5;5
Chattanooga Times Free Press;United States;Local/Régional;5;5
Chicago Tribune;United States;Généraliste;5;5
China Daily;China;Généraliste;3;5
ChinaTalk | Jordan Schneider;United States;Généraliste;5;5
Chosunbiz;South Korea;Généraliste;5;5
Chron;United States;Généraliste;5;5
Cineuropa;Belgium;Société/Culture/Positif;5;5
City Index UK;United Kingdom;Généraliste;5;5
City Journal;United States;Politique américaine;5;5
Citybuzz;Democratic Republic of Congo;Généraliste;5;5
Cleveland.com;United States;Local/Régional;5;5
Cloud Wars;United States;Tech;5;5
CoStar;United States;Business;5;5
CoinDesk;United States;Business;5;5
CoinGeek;United Kingdom;Business;5;5
Coinfomania;United Arab Emirates;Business;5;5
Colorado Public Radio;United States;Local/Régional;5;5
CommonWealth Beacon;United States;Local/Régional;5;5
Community Impact | News;United States;Généraliste;5;5
Computer Weekly;United Kingdom;Généraliste;5;5
Condia;Nigeria;Généraliste;5;5
Congresswoman Ann Wagner (.gov);United States;Politique américaine;5;5
Copeland Funeral Homes;United States;Société/Culture/Positif;5;5
Council on Foreign Relations;United States;Tensions/guerre/violences/géopolitique;5;5
Courthouse News;United States;Politique;5;5
Crain's Detroit;United States;Local/Régional;5;5
Critical Threats;United States;Tensions/guerre/violences/géopolitique;5;5
Crowell & Moring LLP;United States;Politique;5;5
Crude Oil Prices Today | OilPrice.com;United Kingdom;Business;5;5
Crunchbase News;United States;Généraliste;2;5
Crypto Briefing;United States;Business;5;5
Crypto Economy;Spain;Business;5;5
CryptoPotato;Bulgaria;Business;5;5
CryptoRank;United Arab Emirates;Business;5;5
Cureus;United States;Business;5;5
Customer Experience Dive;United States;Business;5;5
DAZN;United Kingdom;Sports;5;5
DD News;India;Généraliste;5;5
DEV Community;United States;Tech;5;5
DVIDS;United States;Tensions/guerre/violences/géopolitique;5;5
Daily Energy Insider;United States;Business;5;5
Daily Gate City;United States;Local/Régional;5;5
Daily Hampshire Gazette;United States;Local/Régional;5;5
Daily Hive;Canada;Généraliste;5;5
Daily Jefferson County Union;United States;Local/Régional;5;5
Daily Trust;Nigeria;Généraliste;3;2
Dailynewsegypt;Egypt;Généraliste;5;5
Dallas Independent School District;United States;Généraliste;5;5
Data Center Dynamics;United Kingdom;Tech;5;5
Data Centre Magazine;United Kingdom;Généraliste;5;5
DataDrivenInvestor;Canada;Business;5;5
Dawan Africa;Somalia;Généraliste;5;5
Deadline;United States;Société/Culture/Positif;5;5
Deccan Herald;India;Généraliste;5;5
Decrypt;United States;Généraliste;5;5
Defense News;United States;Tensions/guerre/violences/géopolitique;5;2
Defense One - All Content;United States;Tensions/guerre/violences/géopolitique;5;2
Delaware Public Media;United States;Local/Régional;5;5
Democracy Now!;United States;Politique américaine;5;5
Demócrata;Spain;Généraliste;5;5
DevOps.com;United States;Généraliste;5;5
Digital Information World;Canada;Tech;5;5
Digital Journal;Canada;Tech;5;5
Digital Music News;United States;Tech;5;5
Dignity Memorial;United States;Société/Culture/Positif;5;5
Diplomacy and Law;Ireland;Généraliste;5;5
DoD Basic Research Office (.gov);United States;Tensions/guerre/violences/géopolitique;5;5
Down To Earth;India;Environnement;5;5
Downtown Bellevue Network;United States;Généraliste;5;5
Dubawa;Nigeria;Généraliste;5;5
EE Times;United States;Généraliste;5;5
EL PAÍS English;Spain;Généraliste;2;1
ESPN;United States;Sports;5;5
ESPN India;India;Sports;5;5
ETF Database;United States;Business;5;5
ETF Trends;United States;Business;5;5
ETF.com;United States;Business;5;5
EWTN News;United States;Société/Culture/Positif;5;5
East Idaho News;United States;Local/Régional;5;5
Eastman Funeral Home;United States;Société/Culture/Positif;5;5
EdTech Innovation Hub;South Africa;Tech;5;5
Education News Canada;Canada;Généraliste;5;5
Electrek;United States;Généraliste;5;5
Energies Media;Cameroon;Généraliste;5;5
Energy Digital;United Kingdom;Tech;5;5
Energy Institute Blog;United Kingdom;Business;5;5
Energy Intelligence;United States;Business;5;5
EnergyNow.com;Canada;Business;5;5
Entomology Today;United States;Généraliste;5;5
Eu Startups;Germany;Tech;3;5
Eurasia Review;United States;Politique;5;5
EurekAlert!;United States;Tech;5;5
Euromaidan Press;Ukraine;Généraliste;5;5
Euronews;France;Généraliste;2;2
European Commission;Belgium;Politique;5;5
FOREX.com;United States;Généraliste;5;5
FOX 8 News;United States;Local/Régional;5;5
FOX Sports;United States;Sports;5;5
FOX10 News;United States;Local/Régional;5;5
FOX19 | Cincinnati;United States;Local/Régional;5;5
FXEmpire;Cyprus;Business;5;5
FXLeaders;Cyprus;Généraliste;5;5
Face2Face Africa;United States;Généraliste;5;5
Fair Observer;Switzerland;Tensions/guerre/violences/géopolitique;5;5
Fairbanks Daily News-Miner;United States;Local/Régional;5;5
Family Wealth Report;United Kingdom;Business;5;5
Fast Company;United States;Business;5;5
Fathom Journal;United Kingdom;Généraliste;5;5
Federal News Network;United States;Politique américaine;5;5
Federal Reserve Bank of Dallas;United States;Business;5;3
Fierce Healthcare;United States;Business;5;5
Fierce Network;United States;Généraliste;5;5
Fierce Pharma;United States;Business;5;5
FinSMEs;Italy;Généraliste;5;5
Financial Afrik;Senegal;Business;5;5
Financial Post;Canada;Business;5;5
Financial Times;United Kingdom;Business;2;1
Finimize;United Kingdom;Généraliste;5;5
Firstpost;India;Généraliste;5;5
Foley Hoag;United States;Politique;5;5
Folha de S.Paulo;Brazil;Généraliste;5;5
Food and Agriculture Organization;Italy;Environnement;5;5
Forbes;United States;Business;5;5
Forbes Australia;Australia;Business;5;5
Foreign Affairs;United States;Tensions/guerre/violences/géopolitique;3;2
Foreign Policy;United States;Tensions/guerre/violences/géopolitique;3;2
Foreign Policy Journal;United States;Tensions/guerre/violences/géopolitique;5;2
ForkLog;Ukraine;Généraliste;5;5
Fort Worth Report;United States;Local/Régional;5;5
Fortune;United States;Business;5;5
Foundation for Defense of Democracies;United States;Tensions/guerre/violences/géopolitique;5;5
Fox Business;United States;Business;5;5
Fox News;United States;Politique américaine;2;2
France 24;France;Généraliste;2;2
FreshPlaza;Netherlands;Généraliste;5;5
Front Office Sports;United States;Sports;5;5
Futurism;United States;Généraliste;5;5
Fédération internationale pour les droits humains;France;Généraliste;5;5
GOV.UK;United Kingdom;Politique;5;5
Game Developer;United States;Tech;5;5
GameSpot;United States;Tech;5;5
GamingBolt;India;Tech;5;5
Gavi, the Vaccine Alliance;Switzerland;Politique;5;5
GazetteXtra;United States;Local/Régional;5;5
GeekWire;United States;Tech;5;5
Gematsu;Japan;Généraliste;5;5
Geopolitical Monitor;Canada;Tensions/guerre/violences/géopolitique;5;5
Gizmodo;United States;Tech;5;5
Global Banking & Finance Review;United Kingdom;Business;5;5
Global Bar Magazine;Sweden;Généraliste;5;5
Global Drinks Intel;United Kingdom;Sports;5;5
Global Edition;United States;Généraliste;5;5
Global Policy Journal;United Kingdom;Généraliste;5;5
Global South Opportunities;Ireland;Généraliste;5;5
GlobeNewswire;United States;Généraliste;5;5
Goal.com;United Kingdom;Sports;5;5
GolfWRX;United States;Sports;5;5
Good Morning America;United States;Généraliste;5;5
Google Business Profile;United States;Business;5;5
Goshen News;United States;Local/Régional;5;5
Greenfield Recorder;United States;Local/Régional;5;5
Groww;India;Business;5;5
Gulf Coast News and Weather;United States;Local/Régional;5;5
GuruFocus;United States;Business;5;5
HDFC Sky;India;Sports;5;5
HR Katha;India;Business;5;5
Hacker News: Front Page;United States;Tech;4;5
HackerNoon;Canada;Tech;5;5
Happy Mag;Australia;Généraliste;5;5
HarianBasis.co;Indonesia;Généraliste;5;5
Hart Energy;United States;Business;5;5
Hawaii News Now;United States;Local/Régional;5;5
Heatmap News;United States;Généraliste;5;5
HostingAdvice.com;United States;Généraliste;5;5
HousingWire;United States;Business;5;5
Houston Public Media;United States;Local/Régional;5;5
Human Rights Watch;United States;Tensions/guerre/violences/géopolitique;5;5
Hyperallergic;United States;Société/Culture/Positif;5;5
Hürriyet Daily News;Turkey;Généraliste;2;2
IAEA;Austria;Tensions/guerre/violences/géopolitique;1;2
IBM Newsroom;United States;Tech;5;5
IBTimes India;India;Généraliste;5;5
ICC;United States;Généraliste;5;5
ICF;United States;Généraliste;5;5
IGN;France;Tech;5;5
IMF Media Center;United States;Politique;5;5
IQAir;Switzerland;Environnement;5;5
ITWeb;South Africa;Généraliste;5;5
Idaho State Journal;United States;Local/Régional;5;5
Ideastream;United States;Généraliste;5;5
Il Sole 24 ORE;Italy;Généraliste;5;5
In Business Madison;United States;Business;5;5
Inc42;India;Généraliste;3;5
IndexBox;United States;Tech;5;5
India Today;India;Généraliste;5;5
Indian Startup Times;India;Tech;5;5
IndieWire;United States;Société/Culture/Positif;5;5
Industrial Cyber;United States;Tech;5;5
Industrial Equipment News;United States;Généraliste;5;5
InformationWeek;United States;Généraliste;5;5
Inquirer.net;Philippines;Généraliste;5;5
Inshorts;India;Généraliste;5;5
Inside Higher Ed;United States;Généraliste;5;5
Inside The Rink;United States;Sports;5;5
Inspenet;United States;Généraliste;5;5
Institute for Energy Economics and Financial Analysis (IEEFA);United States;Business;5;5
Intel Newsroom;United States;Tech;5;5
Interesting Engineering;Canada;Généraliste;5;5
International Atomic Energy Agency;Austria;Tensions/guerre/violences/géopolitique;5;5
International Business Times;United States;Business;5;5
International Business Times Australia;Australia;Business;5;5
International Crisis Group;Belgium;Tensions/guerre/violences/géopolitique;5;5
International Rescue Committee;United States;Tensions/guerre/violences/géopolitique;5;5
Inven Global;South Korea;Généraliste;5;5
Investing News Network;Canada;Business;5;5
Investing.com;Israel;Business;5;5
Investing.com Nigeria;Israel;Business;5;5
Investing.com UK;Israel;Business;5;5
Investopedia;United States;Business;5;5
Investor's Business Daily;United States;Business;5;5
Invezz;British Virgin Islands;Généraliste;5;5
JAPAN Forward;Japan;Généraliste;5;5
JD Supra;United States;Politique;5;5
JW.ORG;United States;Société/Culture/Positif;5;5
Jakarta Globe;Indonesia;Généraliste;5;5
Janes;United Kingdom;Tensions/guerre/violences/géopolitique;3;2
Japan Wire by Kyodo News;Japan;Généraliste;5;5
Jersey Shore Online;United States;Local/Régional;5;5
JoeBucsFan.com;United States;Sports;5;5
Journal & Topics;United States;Local/Régional;5;5
Journal-News.com;United States;Local/Régional;1;5
Jurist.org;United States;Politique;5;5
K-Jewel 99.3 FM;United States;Local/Régional;5;5
KBAK;United States;Local/Régional;5;5
KBOI;United States;Local/Régional;5;5
KCCI;United States;Local/Régional;5;5
KCRG;United States;Local/Régional;5;5
KED Global;South Korea;Généraliste;3;5
KFF;United States;Business;5;5
KING5.com;United States;Local/Régional;5;5
KIRO 7 News Seattle;United States;Local/Régional;5;5
KITCO;Canada;Généraliste;5;5
KMPH;United States;Local/Régional;5;5
KOAA News 5;United States;Local/Régional;5;5
KOAM News Now;United States;Local/Régional;5;5
KOIN.com;United States;Local/Régional;5;5
KOMO;United States;Local/Régional;5;5
KPMG;United Kingdom;Généraliste;5;5
KRCG;United States;Local/Régional;5;5
KRON4;United States;Local/Régional;5;5
KSAT;United States;Local/Régional;5;5
KSL NewsRadio;United States;Local/Régional;5;5
KTLA;United States;Local/Régional;5;5
KTUL;United States;Local/Régional;5;5
KTVU;United States;Local/Régional;5;5
KVOA;United States;Local/Régional;5;5
KVUE;United States;Local/Régional;5;5
KWSN;United States;Local/Régional;5;5
Kansas City Star;United States;Local/Régional;5;5
Kashmir Observer;India;Généraliste;5;5
KitGuru;United States;Généraliste;5;5
Know Startup;India;Tech;5;5
Korben;France;Généraliste;5;5
Kotaku;United States;Tech;5;5
KuCoin;Seychelles;Business;5;5
Kurdistan24;Iraq;Généraliste;5;5
Kyiv Post;Ukraine;Généraliste;5;5
LAist;United States;Local/Régional;5;5
LAmag;United States;Local/Régional;5;5
Lab Manager;United States;Généraliste;5;5
Lapaas Voice;India;Généraliste;5;5
Law360;United States;Politique;5;5
Lawfare;United States;Politique;5;5
Layoffs | TechCrunch;United States;Tech;4;5
Le Monde.fr;France;Généraliste;2;1
Legacy obituary;United States;Société/Culture/Positif;5;5
Legis1;United States;Politique américaine;5;5
Let's Data Science;India;Tech;5;5
LinkedIn;United States;Généraliste;5;5
Little Village Magazine;United States;Local/Régional;5;5
Live Law;India;Généraliste;5;5
Local News 8;United States;Généraliste;5;5
Lohud;United States;Local/Régional;5;5
London School of Economics;United Kingdom;Business;5;5
Long Island Business News;United States;Local/Régional;5;5
Los Angeles Times;United States;Généraliste;5;5
MEXC;Seychelles;Généraliste;5;5
MLB.com;United States;Sports;5;5
MLex;United States;Généraliste;5;5
MP1st;United States;Généraliste;5;5
MPR News;United States;Généraliste;5;5
MS NOW;United States;Politique américaine;5;5
MSME Africa;Nigeria;Généraliste;5;5
MSN;United States;Généraliste;5;5
MacDailyNews;United States;Généraliste;5;5
Magzter;India;Généraliste;5;5
Mainline Media News;United States;Local/Régional;5;5
Marietta Daily Journal;United States;Local/Régional;5;5
MarketBeat;United States;Business;5;5
MarketWatch;United States;Business;2;2
Marketing Dive;United States;Business;5;5
Mashable;United States;Tech;5;5
MaxPreps;United States;Sports;5;5
MedPage Today;United States;Business;5;5
MediaNama;India;Généraliste;5;5
Meduza;Latvia;Généraliste;2;2
Memeburn;South Africa;Généraliste;5;5
Men's Health;United States;Société/Culture/Positif;5;5
Menlo Ventures;United States;Généraliste;5;5
Mexico Business News;Mexico;Business;5;5
Mezha;Ukraine;Généraliste;5;5
Miami Herald;United States;Local/Régional;5;5
Michael Geist;Canada;Généraliste;5;5
Middle East Eye;United Kingdom;Tensions/guerre/violences/géopolitique;5;5
Middle East Forum;United States;Tensions/guerre/violences/géopolitique;5;5
Midland Reporter-Telegram;United States;Local/Régional;5;5
Military Times;United States;Tensions/guerre/violences/géopolitique;2;5
Millersville University;United States;Généraliste;5;5
Mining-journal.com;United Kingdom;Business;5;5
Mint;India;Généraliste;5;5
Mintz;United States;Politique;5;5
Mirage News;Australia;Généraliste;5;5
Mission Network News;United States;Généraliste;5;5
Modern Ghana;Ghana;Généraliste;5;5
Modern Healthcare;United States;Business;5;5
Moneycontrol.com;India;Business;5;5
Mongabay;United States;Environnement;3;5
Moomoo;Hong-Kong;Business;5;5
Morningstar;United States;Généraliste;5;5
Mshale;United States;Généraliste;5;5
MyNewsLA.com;United States;Généraliste;5;5
MyNorthwest.com;United States;Généraliste;5;5
MyTravelGov (.gov);United States;Politique américaine;5;5
Myanmar International TV;Myanmar;Généraliste;5;5
NBC News;United States;Généraliste;2;2
NBC Sports;United States;Sports;5;5
NBC10 Philadelphia;United States;Local/Régional;5;5
NDTV;Nigeria;Généraliste;5;2
NDTV Profit;Nigeria;Business;5;2
NEXT.io;Malta;Généraliste;5;5
NJ.com;United States;Local/Régional;5;5
NK News;South Korea;Généraliste;5;5
NPR;United States;Généraliste;2;2
NVIDIA;United States;Tech;5;5
NZ Herald;New Zealand;Généraliste;5;5
Nasscom;India;Généraliste;5;5
National Association of REALTORS®;United States;Généraliste;5;5
National Institute of Standards and Technology (.gov);United States;Tech;5;5
National News Desk;United States;Politique américaine;5;5
Natural Gas Intelligence;United States;Business;5;5
Nature;United Kingdom;Tech;5;5
Network World;United States;Généraliste;5;5
New African Magazine;United Kingdom;Généraliste;5;5
New Jersey 101.5;United States;Local/Régional;5;5
New Lines Institute;United States;Tensions/guerre/violences/géopolitique;5;5
New York Post;United States;Généraliste;5;5
Newcomer St. Louis;United States;Local/Régional;5;5
News (English) - World Health Organization;Switzerland;Politique;5;5
News On AIR;India;Généraliste;5;5
News and Sentinel;United States;Généraliste;5;5
News24;South Africa;Généraliste;5;2
NewsChannel 10;United States;Généraliste;5;5
Newsday;United States;Généraliste;5;5
Newsmax;United States;Politique américaine;5;5
Newsonair;India;Généraliste;5;5
Newstalk KZRG;United States;Généraliste;5;5
Newsweek;United States;Généraliste;5;5
Newswise;United States;Tech;5;5
NextBigFuture.com;United States;Généraliste;5;5
Nextgov/FCW;United States;Généraliste;5;5
Nikkei Asia;Japan;Généraliste;2;1
No Film School;United States;Société/Culture/Positif;5;5
None;;;5;5
NorthcentralPA.com;United States;Local/Régional;5;5
Northern Kentucky Tribune;United States;Généraliste;5;5
Nuclear Energy Agency (NEA);France;Environnement;5;4
Nuclear Engineering International;United Kingdom;Environnement;5;5
OCHA;United States;Tensions/guerre/violences/géopolitique;5;5
OECD AI Policy Observatory;France;Tech;5;5
OPB;United States;Généraliste;5;5
OS X Daily;United States;Généraliste;5;5
Oceania Football Confederation;New Zealand;Sports;5;5
Odessa American;United States;Local/Régional;5;5
Office of the Secretary of Defense Historical Office (.gov);United States;Tensions/guerre/violences/géopolitique;5;5
OfficeChai;India;Généraliste;5;5
Oil & Gas 360;United States;Business;5;4
Oil & Gas Middle East;United Arab Emirates;Business;5;4
Oil City News;United States;Business;5;5
Oklahoma Energy Today;United States;Business;5;5
Open Doors UK & Ireland;United Kingdom;Généraliste;5;5
Open Global Rights;United States;Généraliste;5;5
Open Society Foundations;United States;Politique;5;5
OpenAI;United States;Tech;3;5
Opera Now;United Kingdom;Société/Culture/Positif;5;5
Opta Analyst;United Kingdom;Sports;5;5
Oskaloosa Herald;United States;Local/Régional;5;5
Ottumwa Courier;United States;Local/Régional;5;5
OutSports;United States;Sports;5;5
PA Department of Community & Economic Development (.gov);United States;Business;5;5
PBS;United States;Généraliste;5;5
PC Gamer;United States;Généraliste;5;5
PR Newswire;United States;Généraliste;5;5
PRWeek;United Kingdom;Généraliste;5;5
PYMNTS.com;United States;Business;5;5
Patch;United States;Généraliste;5;5
Payload Space;United States;Généraliste;5;5
Pennsylvania;United States;Généraliste;5;5
People Matters;India;Généraliste;5;5
People Matters Global;India;Généraliste;5;5
People.com;United States;Société/Culture/Positif;5;5
Personal Care Insights;United States;Généraliste;5;5
Philadelphia Union;United States;Sports;5;5
Phys.org;United States;Tech;5;5
Pineisland-eagle.com;United States;Local/Régional;5;5
Pipeline Magazine;Australia;Généraliste;5;5
Pipeline Technology Journal;Germany;Tech;5;5
Politico;United States;Politique américaine;2;2
Politics Today;Turkey;Généraliste;5;5
Premium Times Nigeria;Nigeria;Généraliste;2;2
PreventionWeb.net;Switzerland;Environnement;5;5
Pro Hockey News;United States;Sports;5;5
Proactive Investors;United Kingdom;Business;5;5
Progressive Grocer;United States;Généraliste;5;5
ProtoThema English;Greece;Généraliste;5;5
Pulse 2.0;United States;Généraliste;5;5
Pure Xbox;United Kingdom;Tech;5;5
Qatar Tribune;Qatar;Généraliste;5;5
Qazinform;Kazakhstan;Généraliste;5;5
Quiver Quantitative;United States;Généraliste;5;5
QuotedData;United Kingdom;Généraliste;5;5
R Street Institute;United States;Politique;5;5
RFI;France;Généraliste;5;5
RSF.ORG;France;Généraliste;5;5
Radio Free Europe/Radio Liberty;United States;Généraliste;5;5
Radio and Music Pros;United States;Société/Culture/Positif;5;5
Rapid City Rush;United States;Sports;5;5
Reading Eagle;United States;Local/Régional;5;5
Red Lake Nation News;United States;Généraliste;5;5
ReliefWeb;United States;Tensions/guerre/violences/géopolitique;5;5
Religion News Service;United States;Société/Culture/Positif;5;5
Renaissance Capital ETFs;United States;Business;5;5
Republic World;India;Généraliste;5;5
Resource Works;Canada;Généraliste;5;5
Resultsense;United Kingdom;Généraliste;5;5
Reuters;United Kingdom;Généraliste;1;1
Revista Merca2.0;Mexico;Généraliste;5;5
Riftbound | League of Legends Trading Card Game;United States;Business;5;5
Ripon Advance;United States;Politique américaine;5;5
Robinhood;United States;Généraliste;5;5
Rolling Out;United States;Société/Culture/Positif;5;5
RotoWire;United States;Sports;5;5
Royal Dutch Shell Plc .com;Netherlands;Généraliste;5;5
Royal United Services Institute (RUSI);United Kingdom;Tensions/guerre/violences/géopolitique;5;5
SB Nation;United States;Sports;5;5
SC Freiburg;Germany;Sports;5;5
SCC Online;India;Généraliste;5;5
SDG Knowledge Hub;United States;Généraliste;5;5
SDxCentral;United Kingdom;Généraliste;5;5
SFGATE;United States;Généraliste;5;5
SMEStreet;India;Généraliste;5;5
SRN News;United States;Généraliste;5;5
SURFER Magazine;United States;Généraliste;5;5
Sahara Reporters;Nigeria;Généraliste;5;5
Sahm;Saudi Arabia;Généraliste;5;5
Salon.com;United States;Politique américaine;5;5
Samaritan's Purse;United States;Généraliste;5;5
San Diego Union-Tribune;United States;Local/Régional;5;5
San Francisco Chronicle;United States;Généraliste;5;5
Sandboxx;United States;Tensions/guerre/violences/géopolitique;5;5
Sci.News;Australia;Tech;5;5
Scotsman Guide;United States;Business;5;5
Scripps News;United States;Généraliste;5;5
Search Engine Journal;United States;Généraliste;5;5
Search Engine Roundtable;United States;Généraliste;5;5
Security Risks Asia;India;Tensions/guerre/violences/géopolitique;5;5
SecurityWeek;United States;Tensions/guerre/violences/géopolitique;5;5
Seeking Alpha;United States;Business;5;5
Semafor;United States;Généraliste;5;5
SemiAnalysis;United States;Tech;5;5
Seoul Economic Daily;South Korea;Généraliste;5;5
Sequoia Capital;United States;Tech;2;5
Serbian Monitor;Serbia;Généraliste;5;5
Share Talk;United Kingdom;Généraliste;5;5
ShiaWaves;Iraq;Généraliste;5;5
Sifted;United Kingdom;Tech;3;5
Signal Cleveland;United States;Local/Régional;5;5
Simcoe Reformer;Canada;Généraliste;5;5
Simplilearn.com;United States;Généraliste;5;5
Sioux County Radio;United States;Local/Régional;5;5
Sky Sports;United Kingdom;Sports;5;5
SlashGear;United States;Généraliste;5;5
Soap Opera Digest;United States;Société/Culture/Positif;5;5
Social Media Today;United States;Généraliste;5;5
Social News XYZ;India;Généraliste;5;5
